event_start,belief_time,source,cumulative_probability,event_value
2015-03-03 17:00:00+00:00,2015-03-01 13:00:00+00:00,Random forest,0.05,6.6415690102500005
2015-03-03 17:00:00+00:00,2015-03-01 13:00:00+00:00,Random forest,0.5,9.807328125
2015-03-03 17:00:00+00:00,2015-03-01 13:00:00+00:00,Random forest,0.95,11.9299960925
2015-03-03 17:00:00+00:00,2015-03-01 14:00:00+00:00,Random forest,0.05,6.5789355469999995
2015-03-03 17:00:00+00:00,2015-03-01 14:00:00+00:00,Random forest,0.5,9.573718750000001
2015-03-03 17:00:00+00:00,2015-03-01 14:00:00+00:00,Random forest,0.95,13.1001367175
2015-03-03 17:00:00+00:00,2015-03-01 15:00:00+00:00,Random forest,0.05,7.56436458325
2015-03-03 17:00:00+00:00,2015-03-01 15:00:00+00:00,Random forest,0.5,9.428062499999996
2015-03-03 17:00:00+00:00,2015-03-01 15:00:00+00:00,Random forest,0.95,12.725566409999999
2015-03-03 17:00:00+00:00,2015-03-01 16:00:00+00:00,Random forest,0.05,6.679121093749999
2015-03-03 17:00:00+00:00,2015-03-01 16:00:00+00:00,Random forest,0.5,9.296093749999999
2015-03-03 17:00:00+00:00,2015-03-01 16:00:00+00:00,Random forest,0.95,12.408256137499999
2015-03-03 17:00:00+00:00,2015-03-01 17:00:00+00:00,Random forest,0.05,6.1214401042499995
2015-03-03 17:00:00+00:00,2015-03-01 17:00:00+00:00,Random forest,0.5,9.050296875
2015-03-03 17:00:00+00:00,2015-03-01 17:00:00+00:00,Random forest,0.95,12.246074219999999
2015-03-03 17:00:00+00:00,2015-03-01 18:00:00+00:00,Random forest,0.05,6.8668984375
2015-03-03 17:00:00+00:00,2015-03-01 18:00:00+00:00,Random forest,0.5,9.396562499999998
2015-03-03 17:00:00+00:00,2015-03-01 18:00:00+00:00,Random forest,0.95,12.083925777500001
2015-03-03 17:00:00+00:00,2015-03-01 19:00:00+00:00,Random forest,0.05,6.2042656247500005
2015-03-03 17:00:00+00:00,2015-03-01 19:00:00+00:00,Random forest,0.5,8.889843749999997
2015-03-03 17:00:00+00:00,2015-03-01 19:00:00+00:00,Random forest,0.95,11.7639096
2015-03-03 17:00:00+00:00,2015-03-01 20:00:00+00:00,Random forest,0.05,6.4862927825000005
2015-03-03 17:00:00+00:00,2015-03-01 20:00:00+00:00,Random forest,0.5,9.296328124999999
2015-03-03 17:00:00+00:00,2015-03-01 20:00:00+00:00,Random forest,0.95,11.695800779999999
2015-03-03 17:00:00+00:00,2015-03-01 21:00:00+00:00,Random forest,0.05,7.092036458500001
2015-03-03 17:00:00+00:00,2015-03-01 21:00:00+00:00,Random forest,0.5,9.296750000000001
2015-03-03 17:00:00+00:00,2015-03-01 21:00:00+00:00,Random forest,0.95,12.705703125
2015-03-03 17:00:00+00:00,2015-03-01 22:00:00+00:00,Random forest,0.05,6.7161495535
2015-03-03 17:00:00+00:00,2015-03-01 22:00:00+00:00,Random forest,0.5,9.378781250000003
2015-03-03 17:00:00+00:00,2015-03-01 22:00:00+00:00,Random forest,0.95,13.0125488275
2015-03-03 17:00:00+00:00,2015-03-01 23:00:00+00:00,Random forest,0.05,7.381168619749999
2015-03-03 17:00:00+00:00,2015-03-01 23:00:00+00:00,Random forest,0.5,9.39965625
2015-03-03 17:00:00+00:00,2015-03-01 23:00:00+00:00,Random forest,0.95,12.93045573
2015-03-03 17:00:00+00:00,2015-03-02 00:00:00+00:00,Random forest,0.05,7.3104622395
2015-03-03 17:00:00+00:00,2015-03-02 00:00:00+00:00,Random forest,0.5,8.950562499999998
2015-03-03 17:00:00+00:00,2015-03-02 00:00:00+00:00,Random forest,0.95,12.647441405
2015-03-03 17:00:00+00:00,2015-03-02 01:00:00+00:00,Random forest,0.05,6.749613281249999
2015-03-03 17:00:00+00:00,2015-03-02 01:00:00+00:00,Random forest,0.5,8.903046875000001
2015-03-03 17:00:00+00:00,2015-03-02 01:00:00+00:00,Random forest,0.95,12.128609375
2015-03-03 17:00:00+00:00,2015-03-02 02:00:00+00:00,Random forest,0.05,7.19367382825
2015-03-03 17:00:00+00:00,2015-03-02 02:00:00+00:00,Random forest,0.5,9.171750000000003
2015-03-03 17:00:00+00:00,2015-03-02 02:00:00+00:00,Random forest,0.95,11.705359375
2015-03-03 17:00:00+00:00,2015-03-02 03:00:00+00:00,Random forest,0.05,6.43379296875
2015-03-03 17:00:00+00:00,2015-03-02 03:00:00+00:00,Random forest,0.5,8.973765625000002
2015-03-03 17:00:00+00:00,2015-03-02 03:00:00+00:00,Random forest,0.95,11.4515507825
2015-03-03 17:00:00+00:00,2015-03-02 04:00:00+00:00,Random forest,0.05,6.203343749999999
2015-03-03 17:00:00+00:00,2015-03-02 04:00:00+00:00,Random forest,0.5,9.072000000000001
2015-03-03 17:00:00+00:00,2015-03-02 04:00:00+00:00,Random forest,0.95,13.47603841
2015-03-03 17:00:00+00:00,2015-03-02 05:00:00+00:00,Random forest,0.05,6.26858854175
2015-03-03 17:00:00+00:00,2015-03-02 05:00:00+00:00,Random forest,0.5,8.658171874999997
2015-03-03 17:00:00+00:00,2015-03-02 05:00:00+00:00,Random forest,0.95,11.364316405
2015-03-03 17:00:00+00:00,2015-03-02 06:00:00+00:00,Random forest,0.05,6.39866210925
2015-03-03 17:00:00+00:00,2015-03-02 06:00:00+00:00,Random forest,0.5,7.9688125
2015-03-03 17:00:00+00:00,2015-03-02 06:00:00+00:00,Random forest,0.95,11.366820317499998
2015-03-03 17:00:00+00:00,2015-03-02 07:00:00+00:00,Random forest,0.05,6.39678385425
2015-03-03 17:00:00+00:00,2015-03-02 07:00:00+00:00,Random forest,0.5,8.099156250000002
2015-03-03 17:00:00+00:00,2015-03-02 07:00:00+00:00,Random forest,0.95,11.278271485000001
2015-03-03 17:00:00+00:00,2015-03-02 08:00:00+00:00,Random forest,0.05,6.2103359375
2015-03-03 17:00:00+00:00,2015-03-02 08:00:00+00:00,Random forest,0.5,8.175687499999997
2015-03-03 17:00:00+00:00,2015-03-02 08:00:00+00:00,Random forest,0.95,10.808466145
2015-03-03 17:00:00+00:00,2015-03-02 09:00:00+00:00,Random forest,0.05,6.269794922
2015-03-03 17:00:00+00:00,2015-03-02 09:00:00+00:00,Random forest,0.5,8.092828124999993
2015-03-03 17:00:00+00:00,2015-03-02 09:00:00+00:00,Random forest,0.95,10.62027344
2015-03-03 17:00:00+00:00,2015-03-02 10:00:00+00:00,Random forest,0.05,6.253974905499999
2015-03-03 17:00:00+00:00,2015-03-02 10:00:00+00:00,Random forest,0.5,8.22046875
2015-03-03 17:00:00+00:00,2015-03-02 10:00:00+00:00,Random forest,0.95,10.678414714999999
2015-03-03 17:00:00+00:00,2015-03-02 11:00:00+00:00,Random forest,0.05,6.46995442725
2015-03-03 17:00:00+00:00,2015-03-02 11:00:00+00:00,Random forest,0.5,8.235453124999996
2015-03-03 17:00:00+00:00,2015-03-02 11:00:00+00:00,Random forest,0.95,10.656664065
2015-03-03 17:00:00+00:00,2015-03-02 12:00:00+00:00,Random forest,0.05,6.3384765625
2015-03-03 17:00:00+00:00,2015-03-02 12:00:00+00:00,Random forest,0.5,8.280124999999995
2015-03-03 17:00:00+00:00,2015-03-02 12:00:00+00:00,Random forest,0.95,10.610846357499998
2015-03-03 17:00:00+00:00,2015-03-02 13:00:00+00:00,Random forest,0.05,6.6383496095
2015-03-03 17:00:00+00:00,2015-03-02 13:00:00+00:00,Random forest,0.5,7.677828124999999
2015-03-03 17:00:00+00:00,2015-03-02 13:00:00+00:00,Random forest,0.95,10.331467448000001
2015-03-03 17:00:00+00:00,2015-03-02 14:00:00+00:00,Random forest,0.05,7.0817265625
2015-03-03 17:00:00+00:00,2015-03-02 14:00:00+00:00,Random forest,0.5,7.622078124999998
2015-03-03 17:00:00+00:00,2015-03-02 14:00:00+00:00,Random forest,0.95,10.4648567725
2015-03-03 17:00:00+00:00,2015-03-02 15:00:00+00:00,Random forest,0.05,7.0805859374999995
2015-03-03 17:00:00+00:00,2015-03-02 15:00:00+00:00,Random forest,0.5,7.849593749999997
2015-03-03 17:00:00+00:00,2015-03-02 15:00:00+00:00,Random forest,0.95,10.4552597675
2015-03-03 17:00:00+00:00,2015-03-02 16:00:00+00:00,Random forest,0.05,7.095546875
2015-03-03 17:00:00+00:00,2015-03-02 16:00:00+00:00,Random forest,0.5,7.9369687499999975
2015-03-03 17:00:00+00:00,2015-03-02 16:00:00+00:00,Random forest,0.95,10.714897135000001
2015-03-03 17:00:00+00:00,2015-03-02 17:00:00+00:00,Random forest,0.05,7.08209635425
2015-03-03 17:00:00+00:00,2015-03-02 17:00:00+00:00,Random forest,0.5,8.133031249999997
2015-03-03 17:00:00+00:00,2015-03-02 17:00:00+00:00,Random forest,0.95,10.614199217500001
2015-03-03 17:00:00+00:00,2015-03-02 18:00:00+00:00,Random forest,0.05,7.0972265624999995
2015-03-03 17:00:00+00:00,2015-03-02 18:00:00+00:00,Random forest,0.5,8.168546875
2015-03-03 17:00:00+00:00,2015-03-02 18:00:00+00:00,Random forest,0.95,10.543583335000001
2015-03-03 17:00:00+00:00,2015-03-02 19:00:00+00:00,Random forest,0.05,7.1463496092500005
2015-03-03 17:00:00+00:00,2015-03-02 19:00:00+00:00,Random forest,0.5,8.177249999999994
2015-03-03 17:00:00+00:00,2015-03-02 19:00:00+00:00,Random forest,0.95,10.7210104175
2015-03-03 17:00:00+00:00,2015-03-02 20:00:00+00:00,Random forest,0.05,7.151135416750001
2015-03-03 17:00:00+00:00,2015-03-02 20:00:00+00:00,Random forest,0.5,8.671453124999992
2015-03-03 17:00:00+00:00,2015-03-02 20:00:00+00:00,Random forest,0.95,10.7270612
2015-03-03 17:00:00+00:00,2015-03-02 21:00:00+00:00,Random forest,0.05,7.102607422
2015-03-03 17:00:00+00:00,2015-03-02 21:00:00+00:00,Random forest,0.5,8.787812499999994
2015-03-03 17:00:00+00:00,2015-03-02 21:00:00+00:00,Random forest,0.95,10.568726935
2015-03-03 17:00:00+00:00,2015-03-02 22:00:00+00:00,Random forest,0.05,7.1420703125
2015-03-03 17:00:00+00:00,2015-03-02 22:00:00+00:00,Random forest,0.5,8.742499999999998
2015-03-03 17:00:00+00:00,2015-03-02 22:00:00+00:00,Random forest,0.95,10.68723177
2015-03-03 17:00:00+00:00,2015-03-02 23:00:00+00:00,Random forest,0.05,6.505859375
2015-03-03 17:00:00+00:00,2015-03-02 23:00:00+00:00,Random forest,0.5,8.640640624999998
2015-03-03 17:00:00+00:00,2015-03-02 23:00:00+00:00,Random forest,0.95,10.4108138025
2015-03-03 17:00:00+00:00,2015-03-03 00:00:00+00:00,Random forest,0.05,6.9360026042500005
2015-03-03 17:00:00+00:00,2015-03-03 00:00:00+00:00,Random forest,0.5,8.641546874999998
2015-03-03 17:00:00+00:00,2015-03-03 00:00:00+00:00,Random forest,0.95,10.30529297
2015-03-03 17:00:00+00:00,2015-03-03 01:00:00+00:00,Random forest,0.05,7.189267578249999
2015-03-03 17:00:00+00:00,2015-03-03 01:00:00+00:00,Random forest,0.5,8.664656249999997
2015-03-03 17:00:00+00:00,2015-03-03 01:00:00+00:00,Random forest,0.95,10.532135415
2015-03-03 17:00:00+00:00,2015-03-03 02:00:00+00:00,Random forest,0.05,7.159088541749999
2015-03-03 17:00:00+00:00,2015-03-03 02:00:00+00:00,Random forest,0.5,8.831640625000002
2015-03-03 17:00:00+00:00,2015-03-03 02:00:00+00:00,Random forest,0.95,10.503183595000001
2015-03-03 17:00:00+00:00,2015-03-03 03:00:00+00:00,Random forest,0.05,7.07924609375
2015-03-03 17:00:00+00:00,2015-03-03 03:00:00+00:00,Random forest,0.5,8.688078125000002
2015-03-03 17:00:00+00:00,2015-03-03 03:00:00+00:00,Random forest,0.95,10.4453750025
2015-03-03 17:00:00+00:00,2015-03-03 04:00:00+00:00,Random forest,0.05,7.383610026
2015-03-03 17:00:00+00:00,2015-03-03 04:00:00+00:00,Random forest,0.5,8.610015625000003
2015-03-03 17:00:00+00:00,2015-03-03 04:00:00+00:00,Random forest,0.95,10.245214845
2015-03-03 17:00:00+00:00,2015-03-03 05:00:00+00:00,Random forest,0.05,7.0833203125
2015-03-03 17:00:00+00:00,2015-03-03 05:00:00+00:00,Random forest,0.5,8.593890625000007
2015-03-03 17:00:00+00:00,2015-03-03 05:00:00+00:00,Random forest,0.95,9.458050781
2015-03-03 17:00:00+00:00,2015-03-03 06:00:00+00:00,Random forest,0.05,7.177070312500001
